ID,Loc,RAJ2000,DEJ2000,SNR,HRV,e_HRV,Teff,e_Teff,logg,e_logg,Vsini,[M/H],e_[M/H]
2M17194974+5722201,2256,259.957269,57.37225,135.23,-63.6106,0.026482,3950.104,75.405,4.8338,0.1162,3.83283,-0.247539,0.012703
2M17195107+2833517,2005,259.962833,28.564386,452.08,-42.320202,0.006448,3571.933,59.984,5.0069,0.1254,6.31262,-0.287969,0.013059
2M17195231+2751246,2382,259.967964,27.856855,110.48,1.04506,0.030831,3642.542,70.396,4.8374,0.1082,6.41638,0.095455,0.012527
2M17195298+2630026,2382,259.97076,26.500732,639.42,-33.986099,0.006196,3344.511,54.216,5.3521,0.1169,12.218,0.035341,0.011818
2M17195948+2412054,4523,259.997834,24.201517,373.88,-20.877701,0.017867,3338.236,53.948,4.9094,0.1159,31.62278,0.065174,0.011601
2M17200698+5931167,4454,260.029123,59.521324,80.931,-30.814199,0.039652,3929.795,82.552,4.8697,0.1082,3.24131,-0.048504,0.013351
2M17203264+3215361,2003,260.136,32.260036,130.76,-23.704599,0.027663,3904.05,74.15,4.7863,0.1149,3.07851,-0.192459,0.012483
2M17204961+5928427,2255,260.206713,59.478546,142.3,-14.724,0.026425,3633.02,67.018,4.8073,0.1196,5.95333,-0.196449,0.013887
2M17205641+5637142,2256,260.235076,56.620625,105.02,-38.2826,0.033909,3921.739,89.769,4.8076,0.1266,3.33749,-0.559459,0.020845
2M17210055+2845035,2005,260.252294,28.750998,92.364,-9.88853,0.035522,3539.519,73.274,4.8206,0.1199,6.19498,-0.203439,0.017854
2M17210713+5813491,2255,260.279713,58.230328,53.594,-30.993401,0.071475,3437.163,81.195,4.6764,0.1344,8.7267,-0.557679,0.029303
2M17212208+2326241,4523,260.342002,23.440042,142.49,-19.2593,0.023318,3970.543,75.548,4.938,0.124,4.38813,-0.456639,0.014145
2M17213879+5805080,2256,260.411627,58.085571,154.52,-63.947102,0.018459,3708.506,71.333,4.9819,0.1443,5.76315,-0.823019,0.02062
2M17213879+5805080,2255,260.411627,58.085571,118.38,-63.9347,0.032394,3706.798,78.264,4.9041,0.1442,5.91385,-0.850919,0.024445
2M17220137+6207485,2241,260.505727,62.130146,352.01,13.5614,0.007828,3758.177,64.833,5.0782,0.1308,5.44152,-0.504209,0.013875
2M17220987+6040195,2241,260.541162,60.672104,137.25,-22.436701,0.023762,3829.751,78.789,4.7897,0.1148,7.15814,-0.185469,0.014734
2M17221609+5248020,2397,260.56706,52.800579,99.18,-1.90093,0.036813,3296.161,71.457,4.9498,0.1496,8.40369,-0.803269,0.032594
2M17221841+5950039,5767,260.576746,59.834427,228.35,-1.4295,0.014492,3472.332,58.966,5.1042,0.1319,7.11148,-0.407259,0.015234
2M17221841+5950039,2255,260.576746,59.834427,201.81,-1.28713,0.018973,3457.725,58.667,5.0481,0.1319,7.03769,-0.400079,0.015296
2M17221841+5950039,2241,260.576746,59.834427,266.5,-1.38385,0.011541,3460.243,59.216,4.9268,0.1353,6.65626,-0.482369,0.016268
2M17223502+2931039,2387,260.645957,29.51775,131.59,8.03078,0.02599,3846.798,71.794,4.6659,0.11,4.72705,-0.027502,0.01134
2M17223855+6206063,2241,260.660662,62.101776,175.67,-42.9702,0.017809,3657.571,62.552,4.9077,0.1158,5.3894,-0.083025,0.0113
